CERT,NAME,CITY,STALP,ZIP,ADDRESS,website,asset_band,asset_musd,fed_regulator,state_regulator,n_signals,score,signals,service_lines,EQV,EQV_pct,RBC1AAJ,RBCT1CER,ROA,ROA_pct,ROE,NIMY,EEFFR,EEFFR_pct,NCLNLSR,NPERFV,ELNANTR,LNLSDEPR,brokered_pct,asset_growth_yoy,cre_ratio,cd_ratio,cre_breach_loss_pct,uninsured_pct,LNAGR
10004,Ergo Bank,Markesan,WI,53946,730 N Margaret St,https://www.ergobank.com,$250M-$1B,276.7,FDIC,Wisconsin Department of Financial Institutions,7,104,credit_deterioration; under_reserved; weak_efficiency; funding_liquidity; weak_profitability; thin_cre_cushion; pre_enforcement,"KR RAS: Internal Audit loan review + CECL model validation + ALLL/CECL governance; KR RAS: CECL model validation / reserve adequacy review; KR RAS: Robotic Process Automation (RPA) + Internal Audit process review; KR RAS (partial): Internal Audit of liquidity/funding risk controls; ALM advisory is another practice; Refer: earnings / margin advisory (other KR practice); RAS angle = cost automation via RPA; KR RAS: CRE stress testing + capital planning — reverse stress test shows a modest CRE loss breaches well-capitalized; KR RAS: PRE-ENFORCEMENT READINESS — risk assessment, Internal Audit, BSA/AML & remediation-readiness before regulators act",9.203,0.316,8.419,9.67,0.331,0.074,3.45,4.209,81.447,0.893,1.737,1.411,0.0,98.299,0.085,0.126,268.943,14.331,2.512,0.154,6.506
10011,Woodford State Bank,Monroe,WI,53566,403 W 8th St,https://www.woodfordstatebank.com,$250M-$1B,523.4,FDIC,Wisconsin Department of Financial Institutions,1,22,thin_cre_cushion,KR RAS: CRE stress testing + capital planning — reverse stress test shows a modest CRE loss breaches well-capitalized,6.325,0.03,8.111,10.28,1.474,0.62,22.94,3.917,58.353,0.41,0.364,0.275,225.225,96.655,0.018,0.087,161.538,57.926,5.104,0.12,2.954
10012,The Portage County Bank,Almond,WI,54909,1155 County Road D,https://www.PORTAGECOUNTYBANK.COM,<$250M,210.1,FDIC,Wisconsin Department of Financial Institutions,0,0,,,12.958,0.666,12.691,,1.365,0.64,10.91,3.589,63.508,0.423,0.099,0.059,0.0,71.535,0.0,0.037,140.671,16.906,71.088,0.303,3.042
10015,Security Bank,New Auburn,WI,54757,112 E Main St,https://www.securityonlinebank.com,$250M-$1B,253.8,FDIC,Wisconsin Department of Financial Institutions,1,10,funding_liquidity,KR RAS (partial): Internal Audit of liquidity/funding risk controls; ALM advisory is another practice,11.629,0.715,11.578,,1.737,0.768,14.79,4.064,46.047,0.111,1.185,1.061,157.895,104.144,0.197,0.108,22.805,19.125,438.505,0.119,2.099
10044,National Exchange Bank and Trust,Fond Du Lac,WI,54935,130 S Main St,https://www.nebat.com,$1B-$3B,2890.6,OCC,N/A (federally chartered),1,5,excess_capital,Refer: capital deployment / M&A (other KR practice); RAS angle = M&A compliance due diligence,19.771,0.976,20.062,,1.693,0.781,8.8,3.959,48.899,0.182,0.367,0.216,0.0,73.051,0.0,0.001,133.399,24.939,74.963,0.401,0.316
1005,Isabella Bank,Mount Pleasant,MI,48858,139 E Broadway St,https://www.isabellabank.com,$1B-$3B,2170.0,Federal Reserve,Michigan Department of Insurance and Financial Services,1,22,thin_cre_cushion,KR RAS: CRE stress testing + capital planning — reverse stress test shows a modest CRE loss breaches well-capitalized,8.756,0.176,8.932,11.49,1.097,0.404,12.97,3.469,64.168,0.615,0.49,0.359,218.053,85.38,0.0,0.029,200.82,63.532,9.594,0.365,1.323
10055,First Southern Bank,Waycross,GA,31501,930 Memorial Dr,https://www.fsb-bank.bank,$250M-$1B,347.2,FDIC,Georgia Department of Banking and Finance,1,22,high_uninsured_deposits,KR RAS: liquidity/funding risk assessment + Internal Audit — deposit base concentrated in uninsured accounts (the SVB/Signature/First Republic profile),9.408,0.36,10.92,14.87,0.943,0.292,10.0,4.496,72.9,0.779,0.011,0.007,0.0,71.736,0.0,0.049,127.711,83.366,28.609,0.385,0.8
10057,Bank of Hancock County,Sparta,GA,31087,12855 Broad St,https://www.bankofhancock.com,<$250M,85.2,FDIC,Georgia Department of Banking and Finance,2,20,excess_capital; weak_efficiency,Refer: capital deployment / M&A (other KR practice); RAS angle = M&A compliance due diligence; KR RAS: Robotic Process Automation (RPA) + Internal Audit process review,16.024,0.843,20.151,,0.46,0.169,2.89,3.415,87.273,0.867,0.824,0.169,0.0,23.526,0.0,0.028,2.904,2.846,3444.024,0.071,0.084
10072,Planters and Citizens Bank,Camilla,GA,31730,21 N Harney St,https://www.pcbank.net,<$250M,139.2,FDIC,Georgia Department of Banking and Finance,0,0,,,8.587,0.177,10.54,,0.66,0.237,8.04,4.009,77.983,0.748,0.058,0.037,5500.0,75.339,0.0,-0.035,136.615,25.43,73.198,0.284,12.292
10074,Apex Banking Company of Georgia,Cleveland,GA,30528,35 Jesse Mae Thurmond Conn,https://www.apexga.bank,<$250M,72.6,FDIC,Georgia Department of Banking and Finance,2,35,weak_efficiency; cd_concentration,KR RAS: Robotic Process Automation (RPA) + Internal Audit process review; KR RAS: construction & development loan review + credit risk management (>=100% of capital — supervisory concentration criteria),8.06,0.119,9.704,,0.548,0.192,6.98,5.071,84.554,0.847,0.033,0.021,0.0,67.318,0.0,0.091,159.732,117.487,62.605,0.212,0.0
10075,Peoples State Bank of Colfax,Colfax,IL,61728,101 W Main St,https://www.psbofcolfax.com,<$250M,49.5,FDIC,Illinois Department of Financial and Professional Regulation,0,0,,,10.958,0.464,11.743,,1.309,0.61,11.61,3.838,56.018,0.241,0.0,0.0,166.667,45.665,0.0,0.096,0.0,0.0,,0.208,7.428
10077,Farmers State Bank of Emden,Emden,IL,62635,205 Lincoln St,,<$250M,37.8,FDIC,Illinois Department of Financial and Professional Regulation,2,17,excess_capital; ag_concentration,Refer: capital deployment / M&A (other KR practice); RAS angle = M&A compliance due diligence; KR RAS: agricultural loan review + credit risk review — concentration exposed to commodity-price / farm-income cycles,29.784,0.969,29.584,57.4,1.176,0.527,3.98,3.602,55.053,0.221,0.0,0.0,833.333,46.907,0.0,-0.013,14.741,0.0,561.367,0.287,18.395
