INST_TYPE,CERT,NAME,CITY,STALP,ZIP,ADDRESS,asset_band,asset_musd,n_signals,score,signals,NW_RATIO,NW_RATIO_pct,DELINQ,NCO,LOAN_TO_SHARE,ROA,ROA_pct,EXP_RATIO,MEMBERS,asset_growth_yoy
Credit Union,15732,Communityamerica,Lenexa,KS,66285,P.O. Box 15950,$3B+,9019.6,7,125,credit_deterioration; weak_efficiency; rapid_growth; bsa_aml_scaling; near_10b_threshold; growth_accelerating; credit_turning,9.937,0.314,2.675,1.716,78.112,2.24,0.651,9.027,594689,1.588
Credit Union,24829,Hope,Jackson,MS,39202-3431,4 Old River Pl,$250M-$1B,881.4,9,112,excess_capital; credit_deterioration; weak_efficiency; funding_liquidity; rapid_growth; weak_profitability; bsa_aml_scaling; growth_accelerating; capital_building,16.184,0.957,1.957,2.027,99.74,0.055,0.039,10.782,49735,0.192
Credit Union,62983,802,Barre,VT,05641,Po Box 745,$250M-$1B,507.7,7,110,credit_deterioration; weak_efficiency; rapid_growth; bsa_aml_scaling; near_500m_audit; growth_accelerating; capital_building,12.54,0.757,1.502,0.69,88.43,2.276,0.764,8.849,41760,0.186
Credit Union,68244,First Financial,Albuquerque,NM,87125-0587,Po Box 25587,$1B-$3B,1126.6,7,108,credit_deterioration; weak_efficiency; rapid_growth; weak_profitability; bsa_aml_scaling; growth_accelerating; credit_turning,8.006,0.035,1.397,1.476,73.783,0.584,0.113,10.705,100171,0.139
Credit Union,68702,Addition Financial,Lake Mary,FL,32746,1000 Primera Blvd.,$3B+,3806.5,6,103,credit_deterioration; weak_efficiency; rapid_growth; bsa_aml_scaling; growth_accelerating; credit_turning,10.01,0.337,1.396,2.539,62.266,1.394,0.296,8.137,259247,0.299
Credit Union,24973,Arrowhead,Rancho Cucamong,CA,91729-9998,"Po Box 4100, Mail Code #100",$1B-$3B,2925.6,4,71,credit_deterioration; weak_efficiency; rapid_growth; bsa_aml_scaling,11.356,0.594,0.895,2.655,59.803,1.74,0.603,8.106,237006,0.133
Credit Union,14692,Onpath,Metairie,LA,70002-6053,3131 N. I-10 Service Rd. E.,$1B-$3B,1473.8,6,92,credit_deterioration; weak_efficiency; rapid_growth; bsa_aml_scaling; credit_turning; capital_building,10.038,0.31,1.347,2.3,99.468,1.475,0.461,9.486,98888,0.366
Credit Union,60608,Openland,League City,TX,77574,Po Box 9004,$250M-$1B,587.9,7,106,credit_deterioration; weak_efficiency; rapid_growth; near_500m_audit; growth_accelerating; credit_turning; capital_building,11.066,0.586,1.09,4.387,89.023,1.34,0.457,11.873,43893,0.112
Credit Union,62776,Sooper CU Dba Climb CU,Arvada,CO,80003,5005 W 60Th Ave,$250M-$1B,822.8,7,103,credit_deterioration; funding_liquidity; rapid_growth; bsa_aml_scaling; growth_accelerating; credit_turning; capital_building,11.632,0.657,1.395,1.494,99.249,2.904,0.896,7.893,42718,0.221
Credit Union,61844,Dfcu Financial,Dearborn,MI,48121,Po Box 6048,$3B+,8040.2,5,81,excess_capital; rapid_growth; bsa_aml_scaling; near_10b_threshold; growth_accelerating,12.633,0.811,0.63,0.168,43.032,3.042,0.911,3.658,242800,0.163
Credit Union,68671,Wings,Colorado Spring,CO,80935-5819,P.O. Box 15819,$3B+,19384.0,5,79,weak_efficiency; funding_liquidity; rapid_growth; bsa_aml_scaling; growth_accelerating,11.837,0.704,0.64,0.896,100.506,0.943,0.172,6.992,958216,0.88
Credit Union,23521,First Technology,San Jose,CA,95134-2118,"2890 Zanker Rd, Ste 120",$3B+,27875.9,6,93,credit_deterioration; rapid_growth; weak_profitability; bsa_aml_scaling; growth_accelerating; credit_turning,10.75,0.503,1.612,2.923,90.993,0.557,0.083,6.246,1870858,1.191
Credit Union,61797,Elga,Grand Blanc,MI,48439,6065 Grand Pointe Dr,$1B-$3B,2498.9,7,98,excess_capital; credit_deterioration; rapid_growth; bsa_aml_scaling; growth_accelerating; credit_turning; capital_building,17.802,0.965,1.378,1.407,79.371,1.963,0.713,7.024,117308,0.554
Credit Union,62426,Zeal,Livonia,MI,48152-2618,17250 Newburgh Road,$1B-$3B,1060.1,7,98,excess_capital; credit_deterioration; rapid_growth; bsa_aml_scaling; growth_accelerating; credit_turning; capital_building,19.815,0.984,1.505,1.941,84.184,5.584,1.0,6.113,69473,0.208
Credit Union,68445,Power Financial,Pembroke Pines,FL,33028,2020 Nw 150Th Avenue,$1B-$3B,1031.7,7,98,excess_capital; credit_deterioration; rapid_growth; bsa_aml_scaling; growth_accelerating; credit_turning; capital_building,13.586,0.842,3.35,0.765,84.677,1.614,0.548,5.296,34561,0.156
Credit Union,68600,Midflorida,Lakeland,FL,33801,129 S Kentucky Ave,$3B+,9790.7,5,81,rapid_growth; bsa_aml_scaling; near_10b_threshold; growth_accelerating; capital_building,10.689,0.491,0.464,0.844,90.94,2.55,0.781,5.484,499969,0.131
Credit Union,5561,Keesler,Biloxi,MS,39534-7001,P O Box 7001,$3B+,5301.6,7,95,excess_capital; weak_efficiency; rapid_growth; bsa_aml_scaling; growth_accelerating; credit_turning; capital_building,12.807,0.828,1.035,1.588,89.906,1.689,0.45,7.914,397213,0.218
Credit Union,62574,Meritrust,Broomfield,CO,80021-3440,360 Interlocken Blvd,$3B+,4142.0,5,74,weak_efficiency; rapid_growth; weak_profitability; bsa_aml_scaling; growth_accelerating,8.126,0.036,0.481,1.031,93.678,0.347,0.059,7.829,213283,1.317
Credit Union,66157,Credit Union 1,Anchorage,AK,99507,1941 Abbott Rd,$1B-$3B,1700.6,5,63,excess_capital; weak_efficiency; rapid_growth; bsa_aml_scaling; capital_building,14.248,0.884,1.008,1.202,96.42,2.351,0.813,8.41,112794,0.147
Credit Union,3130,Truity,Bartlesville,OK,74005-1358,P.O. Box 1358,$1B-$3B,1317.8,5,72,credit_deterioration; weak_efficiency; rapid_growth; weak_profitability; growth_accelerating,8.759,0.077,0.749,2.396,94.024,-0.142,0.023,8.051,76124,0.109
Credit Union,21971,CPM,North Charlesto,SC,29405,1066 E Montague Ave,$250M-$1B,759.3,5,72,credit_deterioration; weak_efficiency; rapid_growth; weak_profitability; credit_turning,8.897,0.175,1.922,4.376,73.56,0.236,0.064,8.837,67624,0.128
Credit Union,66924,Valleystar,Martinsville,VA,24115,Po Box 5511,$250M-$1B,503.4,5,72,credit_deterioration; weak_efficiency; weak_profitability; near_500m_audit; credit_turning,10.255,0.446,1.762,1.713,82.0,-2.099,0.004,10.181,34919,-0.105
Credit Union,24694,America First,Riverdale,UT,84405,"4774 South 1300 West, Building # 3",$3B+,25985.8,4,72,credit_deterioration; rapid_growth; bsa_aml_scaling; credit_turning,11.106,0.598,1.452,1.803,81.234,3.432,0.959,5.068,1588687,0.135
Credit Union,60497,Florida,Gainesville,FL,32627-5549,P.O. Box 5549,$1B-$3B,2811.1,5,77,credit_deterioration; rapid_growth; bsa_aml_scaling; credit_turning; capital_building,12.696,0.742,0.795,1.949,96.326,2.838,0.906,5.6,185862,0.156
Credit Union,22769,Quorum,Purchase,NY,10577-2587,"2500 Westchester Ave, Suite 113",$1B-$3B,1366.7,5,77,credit_deterioration; rapid_growth; bsa_aml_scaling; growth_accelerating; capital_building,9.853,0.258,1.743,0.856,95.745,3.545,0.968,5.962,79668,0.132
Credit Union,2157,Tucson,Tucson,AZ,85733-2435,Po Box 42435,$1B-$3B,1015.8,6,93,credit_deterioration; rapid_growth; bsa_aml_scaling; growth_accelerating; credit_turning; capital_building,10.937,0.516,1.43,4.343,62.727,1.786,0.632,7.213,52077,0.2
Credit Union,62801,West Community,O Fallon,MO,63368-8294,4161 Highway K,$250M-$1B,656.2,4,72,credit_deterioration; rapid_growth; bsa_aml_scaling; credit_turning,8.211,0.075,1.398,1.105,87.76,1.712,0.589,8.228,41912,0.326
Credit Union,24916,I.l.w.u.,Long Beach,CA,90807,P.O. Box 7629,$250M-$1B,607.5,4,72,rapid_growth; bsa_aml_scaling; near_500m_audit; growth_accelerating,9.564,0.289,0.886,0.592,74.065,2.329,0.804,7.27,30417,0.165
Credit Union,68689,Valley Financial,Billings,MT,59104,Po Box 20417,$250M-$1B,600.9,3,56,rapid_growth; bsa_aml_scaling; near_500m_audit,10.676,0.525,0.25,0.719,87.497,1.687,0.575,7.946,39267,0.136
Credit Union,24165,University Of Kentucky,Lexington,KY,40509,1730 Alysheba Way,$1B-$3B,1794.3,6,85,funding_liquidity; rapid_growth; weak_profitability; bsa_aml_scaling; growth_accelerating; credit_turning,10.906,0.506,0.967,0.933,110.594,0.568,0.103,7.427,121057,0.158
Credit Union,68727,Credit Union 1,Lombard,IL,60148-6176,"450 E 22Nd St Ste 250, Ste 250",$1B-$3B,2869.9,6,90,weak_efficiency; rapid_growth; bsa_aml_scaling; growth_accelerating; credit_turning; capital_building,9.57,0.206,1.35,1.08,80.135,3.122,0.935,8.253,172066,0.474
Credit Union,64166,Marion And Polk Schools,Salem,OR,97309,Po Box 12398,$1B-$3B,1851.2,6,90,weak_efficiency; rapid_growth; bsa_aml_scaling; growth_accelerating; credit_turning; capital_building,9.48,0.194,1.32,0.692,83.284,1.935,0.703,9.103,86785,0.261
Credit Union,68494,Frontwave,Oceanside,CA,92056,1278 Rocky Point Dr,$1B-$3B,1742.1,4,69,weak_efficiency; rapid_growth; bsa_aml_scaling; growth_accelerating,9.132,0.129,0.812,0.941,85.545,1.761,0.616,7.967,128682,0.185
Credit Union,97103,Alliance,Lubbock,TX,79424,6219 Spur 327,$1B-$3B,1116.8,5,85,weak_efficiency; rapid_growth; bsa_aml_scaling; growth_accelerating; credit_turning,10.896,0.503,1.074,1.339,95.627,1.432,0.452,9.028,82909,0.725
Credit Union,13919,Del-one,Dover,DE,19904-7790,270 Beiser Blvd,$250M-$1B,983.2,5,74,weak_efficiency; rapid_growth; bsa_aml_scaling; growth_accelerating; capital_building,10.794,0.554,0.635,1.277,84.025,1.239,0.425,9.322,106468,0.345
Credit Union,68215,Alero Financial,Elgin,IL,60123-1140,2075 Big Timber Rd,$250M-$1B,953.5,4,69,weak_efficiency; rapid_growth; bsa_aml_scaling; growth_accelerating,11.95,0.704,0.785,1.303,89.18,0.703,0.211,8.797,65426,0.14
Credit Union,4968,Inova,Elkhart,IN,46516,358 S Elkhart Ave,$250M-$1B,643.5,5,67,credit_deterioration; funding_liquidity; weak_profitability; near_500m_audit; credit_turning,8.358,0.1,0.939,1.988,114.899,0.35,0.093,7.461,47605,-0.051
Credit Union,60153,Municipal,New York,NY,10007-3107,22 Cortlandt St,$3B+,5178.2,6,88,credit_deterioration; weak_efficiency; rapid_growth; growth_accelerating; credit_turning; capital_building,11.314,0.633,1.658,1.794,75.092,2.805,0.846,7.093,651236,0.121
Credit Union,68374,Guardian,Prattville,AL,36066,1 Guardian Way,$1B-$3B,1274.5,5,83,credit_deterioration; weak_efficiency; rapid_growth; growth_accelerating; credit_turning,9.46,0.184,1.448,1.83,93.804,2.366,0.816,8.378,95671,0.126
Credit Union,11793,Embold,Oregon City,OR,97045,Po Box 2020,$250M-$1B,595.7,4,67,credit_deterioration; weak_efficiency; near_500m_audit; credit_turning,10.102,0.411,0.953,2.118,79.671,0.696,0.204,8.554,36483,-0.007
Credit Union,24470,Education First,Beaumont,TX,77706-6515,7025 Eastex Freeway,$250M-$1B,583.1,4,67,credit_deterioration; weak_efficiency; near_500m_audit; credit_turning,9.112,0.214,0.617,2.085,68.926,1.439,0.486,8.614,32567,-0.025
Credit Union,62905,Neighbors,Saint Louis,MO,63123-7804,6300 S Lindbergh Blvd,$250M-$1B,573.3,4,67,credit_deterioration; weak_efficiency; near_500m_audit; credit_turning,12.045,0.714,1.217,2.125,85.183,1.448,0.489,8.969,46271,0.036
Credit Union,8169,Soarion,San Antonio,TX,78212-0070,P.O. Box 120070,$250M-$1B,555.6,4,67,credit_deterioration; weak_efficiency; near_500m_audit; credit_turning,6.833,0.011,1.014,2.168,87.461,2.587,0.836,9.092,58757,-0.027
Credit Union,68439,Resource One,Dallas,TX,75266-0077,Po Box 660077,$250M-$1B,555.2,4,67,credit_deterioration; weak_efficiency; near_500m_audit; credit_turning,10.426,0.482,2.327,2.273,83.35,6.525,0.996,11.411,62847,-0.199
Credit Union,5134,Commonwealth One,Alexandria,VA,22304,Po Box 9997,$250M-$1B,501.7,4,67,credit_deterioration; weak_efficiency; near_500m_audit; credit_turning,8.299,0.096,1.293,2.309,84.063,1.97,0.661,9.221,30477,-0.077
Credit Union,64418,Veridian,Waterloo,IA,50704-6000,Po Box 6000,$3B+,9152.9,4,66,funding_liquidity; rapid_growth; near_10b_threshold; credit_turning,11.571,0.663,0.669,0.727,102.742,3.202,0.929,4.304,379914,0.103
Credit Union,1273,State Farm,Bloomington,IL,61710,"One State Farm Plaza, Sa-1",$3B+,5709.2,6,69,excess_capital; rapid_growth; weak_profitability; bsa_aml_scaling; growth_accelerating; capital_building,13.03,0.84,0.314,0.9,20.19,0.914,0.148,0.728,113388,0.159
Credit Union,24941,Gecu,El Paso,TX,79998,Po Box 20998,$3B+,4735.2,6,69,excess_capital; credit_deterioration; weak_efficiency; funding_liquidity; credit_turning; capital_building,13.22,0.858,0.998,2.402,100.037,2.764,0.822,7.704,441043,0.072
Credit Union,24003,Civic,Raleigh,NC,27609-7309,3600 Wake Forest Rd,$3B+,3071.0,5,64,credit_deterioration; weak_efficiency; funding_liquidity; weak_profitability; credit_turning,5.87,0.006,6.269,5.228,106.883,-6.144,0.006,9.382,336107,-0.162
Credit Union,1074,Farmers Insurance,Los Angeles,CA,90036,Po Box 36911,$1B-$3B,1329.9,5,64,credit_deterioration; weak_efficiency; funding_liquidity; weak_profitability; credit_turning,9.857,0.268,1.572,2.728,103.845,0.604,0.123,8.333,66499,-0.045
