SRC_STATE,COMPANY,ADDRESS,CITY,STALP,ZIP
FL,10 PAYDAY LLC,4812 W COMMERCIAL BLVD,TAMARAC,FL,33319
FL,1966 FOODS INC,2602 W KENNEDY BLVD,TAMPA,FL,33609
FL,"1MONEY USA, INC.",575 5TH AVENUE,NEW YORK,NY,10017
FL,2 GG ENTERPRISES LLC,28945 S DIXIE HWY,HOMESTEAD,FL,33033
FL,201 N 10TH ST CORP,201 N. 10TH STREET,HAINES CITY,FL,33844
FL,256H LLC,1032 E BRANDON BLVD,BRANDON,FL,33511
FL,4PF CAPITAL CORP,1701 W HILLSBORO BLVD STE 205,DEERFIELD BEACH,FL,33442
FL,92 EAST INC,2424 E US HIGHWAY 92,PLANT CITY,FL,33566
FL,A & E LA NUMERO 1 INC,4019 PALM BEACH BLVD,FORT MYERS,FL,33916
FL,"A AND M SERVICES USA, LLC",8040 NW 95 ST UNIT 103,HIALEAH GARDENS,FL,33016
FL,A S L INVESTMENTS FL LLC,8881 PEMBROKE RD,PEMBROKE PINES,FL,33025
FL,"A TU SERVICIO, INC.",874 N. KROME AVENUE,HOMESTEAD,FL,33030
FL,A&C TRADING SERVICE INC,3634 WEBBER ST,SARASOTA,FL,34232
FL,A&Q INC,6980 WEST MCNAB  SUITE D,TAMARAC,FL,33321
FL,AANYA INVESTMENTS LLC,887 W BROADWAY ST,OVIEDO,FL,32765
FL,ABSOLUTE MONEY TRANSFERS INC,5605 INTERNATIONAL DR,ORLANDO,FL,32819
FL,ABUID TAX SERVICES INC,543 W LUCY ST,FLORIDA CITY,FL,33034
FL,ACCESS CHECK CASHING LLC,4288 SW 64TH AVE,DAVIE,FL,33314
FL,ACE MART ENVIOS INC,4902 GOLDEN GATE PKWY,NAPLES,FL,34116
FL,"ACE PAYMENT SERVICES, INC.",300 E. JOHN CARPENTER FWY,IRVING,TX,75062
FL,"ACI PAYMENTS, INC.",3550 ENGINEERING DRIVE,NORCROSS,GA,30092
FL,ACTIVE GROUP SOLUTIONS INC,106 SW 5 AVENUE UNIT B1/B2,HOMESTEAD,FL,33030
FL,ADM PAY INC,515 N FLAGLER DRIVE,WEST PALM BEACH,FL,33401
FL,"ADVANCE AMERICA, CASH ADVANCE CENTERS OF FLORIDA, LLC",135 NORTH CHURCH STREET,SPARTANBURG,SC,29306
FL,ADVANCED GROUP INC,500 W SAMPLE ROAD,POMPANO BEACH,FL,33064
FL,AFFIRM PAYMENTS LLC,650 CALIFORNIA ST.,SAN FRANCISCO,CA,94108
FL,"AFRICA PAY PLUS, LLC",7901 4TH ST N STE 28737,SAINT PETERSBURG,FL,33702
FL,AFRICA REMITTANCE COMPANY LLC,2828 KENNEDY BLVD. SUITE 203,JERSEY CITY,NJ,07306
FL,"AIRBNB PAYMENTS, INC.",888 BRANNAN STREET,SAN FRANCISCO,CA,94103
FL,"AIRWALLEX US, LLC",188 SPEAR STREET,SAN FRANCISCO,CA,94105
FL,AISB VENTURES INC,5801 N AUSTRALIAN AVE,WEST PALM BEACH,FL,33407
FL,AJBD FLORIDA SERVICES LLC,1190 S. CONGRESS AVE.,PALM SPRINGS,FL,33406
FL,AKSHAR INC. OF LIVE OAK,969 OHIO AVENUE,LIVE OAK,FL,32064
FL,AL TAWEL GROUP INC,1030 LAKE AVE,LAKE WORTH,FL,33460
FL,ALCES PAYMENTS HUB LLC,2980 NE 207TH STREET,MIAMI,FL,33180
FL,"ALLPAID OF DELAWARE, INC.",7820 INNOVATION BOULEVARD,INDIANAPOLIS,IN,46278
FL,"ALMOST A BANK, LLC",879 MASON AVE,DAYTONA BEACH,FL,32117
FL,ALPACA CRYPTO LLC,3 EAST THIRD AVENUE,SAN MATEO,CA,94401
FL,"AMAZON PAYMENTS, INC",410 TERRY AVE N,SEATTLE,WA,98109
FL,AMERICAN EXPRESS PREPAID CARD MANAGEMENT CORPORATION,18850 N 56TH STREET,PHOENIX,AZ,85054
FL,"AMERICAN EXPRESS TRAVEL RELATED SERVICES CO, INC.",WORLD FINANCIAL CENTER,NEW YORK,NY,10285-4902
FL,AMSCOT CORPORATION,600 N WESTSHORE BLVD,TAMPA,FL,33609
FL,ANA'S DOLLAR DISCOUNT CORP,535 SW 8TH ST,MIAMI,FL,33130
FL,ANH MINH MONEY TRANSFER INC,"9211 BOLSA AVE., SUITE 104",FOUNTAIN VALLEY,CA,92708
FL,APPLE PAYMENTS INC.,6900 W. PARMER LANE,AUSTIN,TX,78729
