CERT,ASSET_slope,EQV_slope,RBC1AAJ_slope,NCLNLSR_slope,NPERFV_slope,EEFFR_slope,ROA_slope,LNLSDEPR_slope,EQV_d2y,ROA_d2y,asset_yoy,asset_accel,runway_q,cur_asset,n_quarters,cre_g36,capital_building,credit_turning,growth_accelerating,runway_to_10b,margin_eroding,cre_growth_36m
35,-16124.484,0.08,0.314,-0.025,-0.012,0.567,-0.015,4.121,1.402,0.294,0.03,0.013,306.026,1026359.0,20,0.275,False,False,False,False,False,False
39,16507.338,0.382,0.306,-0.026,-0.016,-1.601,0.128,1.051,1.781,0.281,0.002,-0.011,4889.095,475203.0,20,0.038,False,False,False,False,False,False
41,15408.03,-1.643,-0.45,0.015,-0.058,1.399,-0.196,-1.22,2.157,0.071,0.07,-0.065,198.482,343760.0,20,0.054,False,False,False,False,False,False
46,,,,,,,,,,,,,,382952.0,3,,False,False,False,False,False,False
49,571.958,0.141,0.415,-0.201,-0.497,0.165,-0.027,2.622,2.908,0.209,0.004,-0.012,5581.223,76245.0,20,1.608,False,False,False,False,False,True
50,10448.349,-0.271,-0.033,-0.021,-0.047,-2.213,0.158,1.421,0.881,0.193,0.062,-0.006,251.642,225114.0,20,0.777,False,False,False,False,False,True
51,43713.874,0.773,0.853,-0.026,0.026,-2.991,0.128,5.387,-0.628,0.523,0.129,0.001,103.68,427698.0,20,0.339,False,False,False,False,False,False
52,-3380.03,-2.126,-0.432,-0.037,-0.009,11.021,-0.43,4.375,1.626,0.628,0.082,0.226,179.875,293444.0,20,0.763,False,False,False,False,True,True
54,4351.329,0.366,0.636,0.019,-0.029,-2.932,0.114,1.473,1.968,0.227,0.05,0.029,266.0,395319.0,20,0.283,False,False,False,False,False,False
58,101421.344,1.662,1.619,0.107,0.116,1.314,-0.072,3.416,3.487,-0.773,0.042,-0.13,188.886,1452054.0,20,0.509,True,False,False,False,False,True
70,699.248,-0.119,0.2,0.213,0.182,0.448,-0.023,1.841,1.695,0.578,0.006,-0.005,3220.568,97694.0,20,-0.109,False,True,False,False,False,False
72,67635.344,0.012,0.046,0.05,0.038,-0.506,0.029,2.308,0.563,0.323,0.133,0.006,81.54,778338.0,20,0.494,False,False,False,False,False,False
77,239.08,0.348,0.371,0.006,0.005,-0.994,0.08,5.388,-0.027,0.168,0.03,0.005,509.556,217918.0,20,4.209,False,False,False,False,False,True
81,-874.824,0.179,0.114,0.281,0.212,0.706,-0.023,8.084,3.877,-0.503,-0.076,-0.112,,144342.0,20,0.503,False,True,False,False,False,True
88,84000.478,-0.117,-0.059,0.325,0.237,0.56,-0.048,-2.315,1.26,0.014,0.085,0.002,110.009,1072055.0,20,0.923,False,True,False,False,False,True
89,163855.771,-0.332,-0.385,0.001,-0.001,-2.792,0.033,0.298,0.521,0.704,0.181,0.009,43.676,1628308.0,20,0.441,False,False,False,False,False,False
90,33642.484,-0.285,0.473,0.799,0.518,3.818,-0.279,3.266,2.366,0.247,0.009,-0.459,1397.783,372851.0,20,0.271,False,True,False,False,True,False
93,1827.85,1.46,0.487,-0.038,-0.27,3.967,-0.366,-0.698,7.51,-0.602,0.023,-0.11,884.774,70182.0,20,0.154,True,False,False,False,True,False
94,-3091.161,-2.593,0.335,-0.018,-0.002,9.52,-0.377,3.771,,,,,,113968.0,12,,False,False,False,False,True,False
99,7771.221,0.205,0.264,0.108,0.084,-1.832,0.204,4.518,-0.854,-0.173,0.101,0.028,162.38,202871.0,20,0.169,False,False,False,False,False,False
105,8904.529,-0.362,-0.091,0.141,0.095,1.889,0.013,2.234,1.127,-1.861,-0.03,-0.089,,189551.0,20,0.061,False,False,False,False,False,False
107,2093.417,-0.85,-0.286,-0.105,-0.037,-3.711,0.106,1.41,1.488,0.032,0.078,0.057,278.926,52429.0,20,2.933,False,False,False,False,False,True
109,17069.952,-0.414,-0.331,-0.053,-0.01,3.536,-0.221,1.511,0.577,0.314,0.013,-0.01,1082.456,311768.0,20,0.028,False,False,False,False,True,False
131,,,,,,,,,,,,,,9681906.0,3,,False,False,False,False,False,False
147,7304.217,0.496,0.82,0.024,0.013,-2.159,0.146,2.827,2.183,0.741,0.348,0.333,40.428,490660.0,20,0.271,True,False,True,False,False,False
148,14491.317,0.244,0.428,-0.061,-0.109,-1.652,0.123,3.689,1.74,0.849,0.04,-0.012,319.812,449125.0,20,0.177,False,False,False,False,False,False
149,1332.511,-0.116,0.767,-0.634,-0.339,-6.56,0.882,-1.246,2.618,0.218,0.041,-0.059,421.822,137460.0,20,1.302,False,False,False,False,False,True
155,2390.06,0.003,0.353,0.031,0.001,1.987,0.011,0.026,1.381,0.156,0.051,0.003,293.965,250723.0,20,0.111,False,False,False,False,False,False
160,15054.983,0.062,0.198,-0.002,-0.006,-1.104,-0.195,5.744,-0.749,-4.316,0.02,-0.019,630.348,414288.0,20,0.365,False,False,False,False,False,False
169,-5039.651,0.716,1.207,-0.024,-0.001,-7.439,0.299,5.617,2.723,0.15,0.018,0.016,748.32,377461.0,20,0.705,True,False,False,False,False,True
170,23277.29,0.037,0.066,-0.102,-0.071,-1.288,0.004,0.911,0.639,0.366,0.165,-0.005,97.326,242523.0,20,0.554,False,False,False,False,False,True
172,-19160.671,1.037,1.176,-0.14,-0.035,-3.582,0.302,3.426,0.552,-0.288,0.03,0.028,202.143,2216638.0,20,-0.004,False,False,False,False,False,False
175,14942.623,0.331,0.606,-0.234,-0.143,-1.088,0.216,3.059,2.694,0.212,0.065,0.098,194.409,458895.0,20,-0.073,False,False,False,False,False,False
178,-2191.609,-1.269,-0.569,-0.116,-0.03,4.145,-0.328,2.535,-0.923,0.129,-0.017,0.076,,51409.0,20,0.297,False,False,False,False,True,False
183,3296.244,-0.794,0.103,-0.016,0.003,2.898,-0.198,2.28,0.403,0.175,0.047,-0.043,368.058,148123.0,20,1.95,False,False,False,False,True,True
197,15490.487,-0.177,0.239,-0.034,-0.016,-3.355,0.244,7.787,1.329,0.478,0.05,-0.015,255.058,458664.0,20,1.607,False,False,False,False,False,True
